image,caption
reports/figures/eda/01_population_distribution.png,"The median county population is 26,767, while the largest county has 9,848,406 residents in this sample. A logarithmic axis reveals smaller counties that a few very large counties would compress on a linear scale."
reports/figures/eda/02_home_value_distribution.png,"The median of county home-value estimates is $174,600, compared with a mean of $211,434. The upper tail motivates comparing ranks and inspecting extreme counties rather than automatically deleting high home values."
reports/figures/eda/03_net_migration_over_time.png,"The line tracks median net migration for the same 3,007 counties observed in every plotted year, with the middle half shaded. This equal-county statistic is not a national population-weighted rate, and the marked IRS series changes limit comparisons across those breaks."
reports/figures/eda/04_inflow_vs_outflow.png,"County inflow and outflow rates have a Spearman correlation of 0.80, illustrating substantial two-way movement. Counties above the diagonal gain IRS individuals on net, with matching logarithmic axes fitted to the observed range to spread out the points (symmetric logarithmic axes if zeros occur)."
reports/figures/eda/05_county_gains_and_losses.png,"The chart compares the ten largest gains and ten largest losses among eligible counties with at least 10,000 ACS residents. The stated population threshold reduces tiny-denominator rankings, but rates still combine different IRS and ACS reference populations."
reports/figures/eda/06_homeownership_and_migration.png,The Spearman association between homeownership and net migration is 0.29 in the county sample with training-imputed predictors. Hexagon density shows variation around this association and does not establish that homeownership causes migration.
reports/figures/eda/07_education_bands.png,"Fixed education bands compare the median, middle half, and flagged tail values of county net migration rates. Visible overlap and retained outliers show why an education category alone cannot determine a county’s migration outcome."
reports/figures/eda/08_temperature_and_migration.png,"Annual average temperature has a Spearman correlation of 0.15 with net migration, with variation among counties at similar temperatures. Climate is an area average correlated with regional conditions, so this plot does not isolate a temperature effect."
reports/figures/eda/09_disasters_and_migration.png,"The comparison includes 2,261 counties with no mapped incident, 698 with one, and 91 with two or more. A zero means no matching FEMA incident rather than no hazard, and these same-year distributions do not identify a disaster’s causal migration impact."
reports/figures/eda/10_correlation_matrix.png,"All cells use the same 3,050 complete counties, and homeownership % has the largest absolute rank association with net migration among the selected characteristics. Correlated predictors and different inflow versus outflow relationships motivate multivariable analysis, while this matrix alone provides no causal evidence."
